oc2o_id,oc2o_created,oc2o_modified,oc2o_uuid,oc2o_name,oc2o_definition,oc2o_stewardship_organisation,oc2o_workgroup,oc2o_version,oc2o_references,oc2o_origin_URI,oc2o_origin,oc2o_comments
6,2018-08-10,2020-11-24,3fa32940-9c50-11e8-92a9-0273a7ea5052,Household,"<p>A group of two or more related or unrelated people who usually reside in the same dwelling, and who make common provision for food or other essentials for living; or a single person living in a dwelling who makes provision for his or her own food and other essentials for living, without combining with any other person.</p>",e4414942db3711e995fe62bb09eaf366,6,0.1,,http://meteor.aihw.gov.au/content/index.phtml/itemId/268977,,
7,2018-08-10,2020-11-24,3fa37dfa-9c50-11e8-92a9-0273a7ea5052,Address,<p>A collection of information used for describing the location of an entity and/or details describing how the entity can be contacted.</p>,e4414942db3711e995fe62bb09eaf366,6,0.1,,http://meteor.aihw.gov.au/content/index.phtml/itemId/428657,,
8,2018-08-10,2021-04-15,3fa3ee66-9c50-11e8-92a9-0273a7ea5052,Recipient,"<p>The&nbsp;<a class=""aristotle-concept-link"" data-aristotle-concept-id=""51237"" href=""/item/51237"">Welfare recipient</a> to whom&nbsp;an Australian Government&nbsp;benefit is provided.</p>",e4414942db3711e995fe62bb09eaf366,6,0.1,,http://meteor.aihw.gov.au/content/index.phtml/itemId/645097,,
105,2018-08-10,2021-07-19,3fa25e84-9c50-11e8-92a9-0273a7ea5052,Person,"<p>A human being, whether man, woman or child.</p>",e4414942db3711e995fe62bb09eaf366,6,0.1,,http://meteor.aihw.gov.au/content/index.phtml/itemId/268955,,
260,2018-08-27,2021-04-15,c7bede12-a9b8-11e8-97e2-6a4df5c5296e,Session,<p>An instance of service.</p>,e4414942db3711e995fe62bb09eaf366,7,1.0,,,,
265,2018-08-28,2020-11-24,0343ebc8-aa89-11e8-add6-de5ac3c56dc3,Organisation,"<p>An incorporated or unincorporated association, company, partnership, trustee, government entity, or other group of people organised to pursue a defined objective or goal.</p>",e4414942db3711e995fe62bb09eaf366,7,0.1,,,,"<p>In future this item is intended to serve as the overarching broader class for multiple specialisations of Organisation, such as Service provider and Delivery organisation. However, until this change has been implemented, it will serve as the placeholder object class for those data elements that would use those specialisations.&nbsp;</p>"
271,2018-08-29,2020-11-24,ca9fc942-ab53-11e8-a718-c6c5ce9b6f2c,Outlet,<p>A physical location where services are delivered and/or administered.</p>,e4414942db3711e995fe62bb09eaf366,7,0.1,,,,"<p>Where the service is mobile in nature, the outlet used should be the nearest administrative premises where staff are based, and where they are likely to be travelling from to deliver the service.</p>

<p>In the instance of service delivery at a residential address, the outlet should reflect where staff are based or travelling from. In the instance of service delivery at a protected address or refuge, the outlet can use an address of a non-identifiable, public place nearby (such as a post office, police station or shopping centre).</p>"
292,2018-09-12,2021-04-15,7a8533dc-b627-11e8-885c-029df370351a,Client,"<p>An individual who attended one or more services funded to improve or support their or another person&#39;s wellbeing, participation and/or independence.</p>",e4414942db3711e995fe62bb09eaf366,7,0.1,,,,
376,2018-10-18,2021-04-15,7f769d46-d28c-11e8-9dd4-0e8aa3fccc1e,Data Exchange,<p>A performance reporting system providing a standard way to share service delivery and client outcomes data between funding agencies and service providers.</p>,e4414942db3711e995fe62bb09eaf366,7,0.1,,,,
1652,2019-09-03,2021-04-15,d9133d0c-cdfc-11e9-be49-fa449df09a2b,Client outcome assessment,"<p>A measurement of the specific aspect(s) of independence, participation and/or wellbeing a service is aiming to improve or support for a client.</p>",e4414942db3711e995fe62bb09eaf366,7,0.1,,,,"<p>An outcome is defined by the Australian Department of Finance as &#39;the results, consequences or impacts of Government actions&#39;. In the context of the Data Exchange, the term outcome is used to describe the impact of a service on a client&#39;s independence, participation and/or wellbeing.</p>"
2336,2020-08-12,2021-06-17,6ccec9fe-dc6a-11ea-906f-062f7acd21ca,Landlord,"A person or organisation who owns or leases land, buildings or accommodation, to another.",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2337,2020-08-12,2021-06-21,6cce4ea2-dc6a-11ea-8a29-062f7acd21ca,Debt,"A liability or obligation to pay, usually money, to another person or organisation, or provide some thing or some service, or the condition of being under such an obligation.",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,https://www.macquariedictionary.com.au/features/word/search/?word=Debt&search_word_type=Dictionary  29/06/18,
2338,2020-08-12,2021-04-15,6ccf97b2-dc6a-11ea-8802-062f7acd21ca,Income,"Amount earned, derived or received by the person for their own use or benefit, or a periodical payment by way of gift or allowance.",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2339,2020-08-12,2020-11-24,6cd01ff2-dc6a-11ea-b1f5-0a8620c9d3ec,Citizenship,"A formal membership, native or naturalised, of a civil community, enjoying the privileges of community membership and subject to its special obligations.",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2340,2020-08-12,2020-11-24,6cd06084-dc6a-11ea-b216-0a8620c9d3ec,Task Cluster,Work that the Department of Human Services is legislatively obliged or contracted to do.,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2341,2020-08-12,2020-11-24,6cd0f08a-dc6a-11ea-afd9-0a8620c9d3ec,Output,The total of Business Activity Reporting & Analytics (BARA) based workload produced.,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2342,2020-08-12,2021-04-15,6d008ad4-dc6a-11ea-8802-062f7acd21ca,Process hours,A measure of work effort.,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2343,2020-08-12,2020-11-24,6d0134e8-dc6a-11ea-906f-062f7acd21ca,Department of Human Services Funding Model,An output focused funding mechanism to fund the Department of Human Services for service delivery work undertaken for DEEWR and FaHCSIA.,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2344,2020-08-12,2020-11-24,6d00c3b4-dc6a-11ea-b216-0a8620c9d3ec,Age Pension,An income support payment for people who have reached age pension age who are not able to fully provide for themselves in their retirement.,7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2345,2020-08-12,2020-11-24,6d018fa6-dc6a-11ea-8a29-062f7acd21ca,Department of Human Services Funding Model Infrastructure,"The resources supporting service delivery, which are predominantly of a fixed or semi-fixed nature, and have either no, or only an indirect relationship with changes in work volumes or customer numbers. Includes I&T, depreciation, Property Operating Expe",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
2346,2020-08-12,2021-06-21,6d0135e2-dc6a-11ea-b1f5-0a8620c9d3ec,Dependent Child,"A young person for whom an adult has responsibility and who meets age, residence, income, study or job seeking or other dependency requirements for a particular payment, benefit or service.",7089da98b44c11ea849a5a0bdf2d1ed7,118,,,,,
